sample	unit	platform	fq1	fq2
D2_F2_160	D2_F2_160_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_160/D2_F2_160_NKD180900418-AK9794-AK9816_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_160/D2_F2_160_NKD180900418-AK9794-AK9816_H7NHLDSXX_L1_2.fq.gz
D2_F2_160	D2_F2_160_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_160/D2_F2_160_NKD180900418-D2_F2_160_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_160/D2_F2_160_NKD180900418-D2_F2_160_H7LYHDSXX_L1_2.fq.gz
D2_F2_161	D2_F2_161_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_161/D2_F2_161_NKD180900418-AK9795-AK9810_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_161/D2_F2_161_NKD180900418-AK9795-AK9810_H7NHLDSXX_L1_2.fq.gz
D2_F2_161	D2_F2_161_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_161/D2_F2_161_NKD180900418-D2_F2_161_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_161/D2_F2_161_NKD180900418-D2_F2_161_H7LYHDSXX_L1_2.fq.gz
D2_F2_162	D2_F2_162_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_162/D2_F2_162_NKD180900418-AK9795-AK9811_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_162/D2_F2_162_NKD180900418-AK9795-AK9811_H7NHLDSXX_L1_2.fq.gz
D2_F2_162	D2_F2_162_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_162/D2_F2_162_NKD180900418-D2_F2_162_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_162/D2_F2_162_NKD180900418-D2_F2_162_H7LYHDSXX_L1_2.fq.gz
D2_F2_164	D2_F2_164_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_164/D2_F2_164_NKD180900418-AK9795-AK9813_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_164/D2_F2_164_NKD180900418-AK9795-AK9813_H7NHLDSXX_L1_2.fq.gz
D2_F2_164	D2_F2_164_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_164/D2_F2_164_NKD180900418-D2_F2_164_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_164/D2_F2_164_NKD180900418-D2_F2_164_H7LYHDSXX_L1_2.fq.gz
D2_F2_165	D2_F2_165_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_165/D2_F2_165_NKD180900418-AK9795-AK9814_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_165/D2_F2_165_NKD180900418-AK9795-AK9814_H7NHLDSXX_L1_2.fq.gz
D2_F2_165	D2_F2_165_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_165/D2_F2_165_NKD180900418-D2_F2_165_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_165/D2_F2_165_NKD180900418-D2_F2_165_H7LYHDSXX_L1_2.fq.gz
D2_F2_168	D2_F2_168_wwa	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_168/D2_F2_168_NKD180900418-D2_F2_168_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_168/D2_F2_168_NKD180900418-D2_F2_168_H7LYHDSXX_L1_2.fq.gz
D2_F2_168	D2_F2_168_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_168/D2_F2_168_NKD180900418-AK9795-AK9816_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_168/D2_F2_168_NKD180900418-AK9795-AK9816_H7NHLDSXX_L1_2.fq.gz
D2_F2_169	D2_F2_169_wwa	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_169/D2_F2_169_NKD180900418-D2_F2_169_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_169/D2_F2_169_NKD180900418-D2_F2_169_H7LYHDSXX_L1_2.fq.gz
D2_F2_169	D2_F2_169_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_169/D2_F2_169_NKD180900418-AK9796-AK9810_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_169/D2_F2_169_NKD180900418-AK9796-AK9810_H7NHLDSXX_L1_2.fq.gz
D2_F2_170	D2_F2_170_wwa	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_170/D2_F2_170_NKD180900418-D2_F2_170_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_170/D2_F2_170_NKD180900418-D2_F2_170_H7LYHDSXX_L1_2.fq.gz
D2_F2_170	D2_F2_170_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_170/D2_F2_170_NKD180900418-AK9796-AK9811_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_170/D2_F2_170_NKD180900418-AK9796-AK9811_H7NHLDSXX_L1_2.fq.gz
D2_F2_172	D2_F2_172_wwa	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_172/D2_F2_172_NKD180900418-D2_F2_172_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_172/D2_F2_172_NKD180900418-D2_F2_172_H7LYHDSXX_L1_2.fq.gz
